Name;Date;Location;Crewed or Uncrewed;High Temp;Low Temp;Ave Temp;Hist High Temp;Hist Low Temp;Hist Ave Temp;Percipitation at Launch Time;Hist Ave Percipitation;Wind Direction;Max Wind Speed;Visibility;Sea Level Pressure;Condition;Launched?;;;
Viking 2;9-Set-75;Cape Canaveral;Uncrewed;89;0;75.21;89;73;81;0;0.24;NE;17;10;29.99;Partly Cloudy;Y;;;
;10-Set-75;Cape Canaveral;Uncrewed;87;0;73.29;89;73;81;0;0.23;SE;17;10;30.03;Partly Cloudy;N;;;
;11-Set-75;Cape Canaveral;Uncrewed;90;0;79.28;89;73;81;0;0.25;SE;21;10;30.06;Cloudy;N;;;
;13-Oct-97;Cape Canaveral;Uncrewed;84;72;78.52;85;69;77;0;0.16;E;15;7;30.05;Fair;N;;;
;14-Oct-97;Cape Canaveral;Uncrewed;84;75;79.09;85;69;77;0;0.16;E;17;10;30.01;Partly Cloudy;N;;;
Cassini-Huygens;15-Oct-97;Cape Canaveral;Uncrewed;82;73;77.63;84;68;76;0;0.16;NE;17;10;29.99;Cloudy;Y;;;
;16-Oct-97;Cape Canaveral;Uncrewed;82;66;74.87;84;68;76;0;0.16;NE;12;10;29.95;Partly Cloudy;N;;;
;17-Oct-97;Cape Canaveral;Uncrewed;81;64;73.83;84;68;76;0;0.15;NE;12;10;29.92;Partly Cloudy;N;;;
;25-Set-07;Cape Canaveral;Uncrewed;87;77;82.06;88;72;80;0.08;0.25;E;17;10;30.02;Partly Cloudy;N;;;
;26-Set-07;Cape Canaveral;Uncrewed;84;74;78.67;87;72;80;0.4;0.26;NE;18;10;29.98;Cloudy;N;;;
Dawn;27-Set-07;Cape Canaveral;Uncrewed;87;77;82.06;88;72;80;0.08;0.25;E;17;10;30.02;Partly Cloudy;Y;;;
;28-Set-07;Cape Canaveral;Uncrewed;89;73;80.03;87;72;80;0;0.25;W;12;10;29.98;Fair;N;;;
;29-Set-07;Cape Canaveral;Uncrewed;89;77;82.26;87;72;79;0.35;0.26;NE;28;10;30.07;T-Storm;N;;;
;16-Oct-89;Kennedy;Uncrewed;86;0;76.38;84;68;76;0;0.16;W;15;20;30.04;Partly Cloudy;N;;;
;17-Oct-89;Kennedy;Uncrewed;85;74;80.48;84;68;76;0;0.15;W;14;20;30.01;Partly Cloudy;N;;;
Galileo;18-Oct-89;Kennedy;Uncrewed;89;0;61.67;84;68;76;0.1;0.16;NW;16;20;29.99;Cloudy;Y;;;
;19-Oct-89;Kennedy;Uncrewed;82;0;52.75;84;67;76;0.1;0.15;W;18;10;30.06;Rain;N;;;
;20-Oct-89;Kennedy;Uncrewed;63;0;53.91;83;67;75;0;0.16;NW;24;20;30.24;Fair;N;;;
;6-Ago-01;Cape Canaveral;Uncrewed;87;70;78.36;91;73;82;0.08;0.24;E;22;10;30.15;Cloudy;N;;;
;7-Ago-01;Cape Canaveral;Uncrewed;88;74;80.46;91;73;82;0;0.25;E;12;10;30.17;Fair;N;;;
Genesis;8-Ago-01;Cape Canaveral;Uncrewed;89;73;80.74;91;73;82;0;0.25;N;10;10;30.12;Fair;Y;;;
;9-Ago-01;Cape Canaveral;Uncrewed;90;75;81.52;91;73;82;0;0.26;E;14;10;30.08;Fair;N;;;
;10-Ago-01;Cape Canaveral;Uncrewed;88;74;80.79;91;73;82;0;0.25;NE;13;10;30.08;Partly Cloudy;N;;;
;4-Oct-90;Kennedy;Uncrewed;88;0;70.64;86;71;79;0.3;0.21;W;14;20;30.11;Rain;N;;;
;5-Oct-90;Kennedy;Uncrewed;85;0;67.67;86;71;79;0.4;0.2;S;12;20;30.06;T-Storm;N;;;
Ulysses;6-Oct-90;Kennedy;Uncrewed;86;81;82.58;86;71;78;0;0.19;E;20;20;30.06;Partly Cloudy;Y;;;
;7-Oct-90;Kennedy;Uncrewed;87;0;79.12;86;70;78;0;0.2;E;21;21;30.07;Cloudy;N;;;
;8-Oct-90;Kennedy;Uncrewed;86;0;75.5;86;70;78;0.2;0.19;NE;17;20;30.04;Partly Cloudy;N;;;
;3-Ago-11;Cape Canaveral;Uncrewed;91;77;83.59;91;73;82;0;0.23;W;13;10;29.87;Fair;N;;;
;4-Ago-11;Cape Canaveral;Uncrewed;92;75;83.32;91;73;82;0.02;0.23;W;13;10;29.91;Cloudy;N;;;
Juno;5-Ago-11;Cape Canaveral;Uncrewed;93;77;84.7;91;73;82;0;0.23;NW;14;10;29.96;Fair;Y;;;
;6-Ago-11;Cape Canaveral;Uncrewed;93;77;85.29;91;73;82;0;0.24;E;12;10;29.98;Fair;N;;;
;7-Ago-11;Cape Canaveral;Uncrewed;95;77;84.19;91;73;82;0.02;0.25;W;15;10;29.96;Cloudy;N;;;
;17-Ene-06;Cape Canaveral;Uncrewed;79;56;68.67;71;49;60;0;0.07;S;18;10;30.02;Cloudy;N;;;
;18-Ene-06;Cape Canaveral;Uncrewed;71;49;58.67;71;49;60;0.16;0.07;W;22;10;30.34;Cloudy;N;;;
New Horizons;19-Ene-06;Cape Canaveral;Uncrewed;69;42;59.25;71;49;60;0;0.07;NE;15;10;30.34;Partly Cloudy;Y;;;
;20-Ene-06;Cape Canaveral;Uncrewed;74;64;68.61;71;49;60;0.05;0.07;E;15;10;30.27;Rain;N;;;
;21-Ene-06;Cape Canaveral;Uncrewed;77;67;71.61;72;49;60;0;0.07;E;14;10;30.24;Fair;N;;;
;10-Ene-05;Cape Canaveral;Uncrewed;51;0;33.04;71;49;60;0;0.07;NW;21;10;30.38;Fair;N;;;
;11-Ene-05;Cape Canaveral;Uncrewed;55;0;29.04;71;49;60;0;0.07;NW;14;10;30.4;Fair;N;;;
Deep Impact;12-Ene-05;Cape Canaveral;Uncrewed;59;0;36.78;71;49;60;0;0.08;NW;17;10;30.33;Fair;Y;;;
;13-Ene-05;Cape Canaveral;Uncrewed;61;0;38.96;71;49;60;0;0.07;N;8;10;30.35;Fair;N;;;
;14-Ene-05;Cape Canaveral;Uncrewed;67;43;55.39;71;49;60;0;0.08;NE;12;10;30.27;Cloudy;N;;;
;22-Oct-98;Cape Canaveral;Uncrewed;81;72;75.55;83;66;75;0;0.16;N;23;10;30.08;Cloudy;N;;;
;23-Oct-98;Cape Canaveral;Uncrewed;77;72;73.61;83;66;74;0;0.15;NE;24;10;30.18;Cloudy;N;;;
Deep Space 1;24-Oct-98;Cape Canaveral;Uncrewed;82;73;76.38;83;66;74;0;0.13;E;21;20;30.22;Cloudy;Y;;;
;25-Oct-98;Cape Canaveral;Uncrewed;82;73;76.96;82;65;74;0;0.14;NE;17;10;30.15;Cloudy;N;;;
;26-Oct-98;Cape Canaveral;Uncrewed;82;72;76.95;82;65;74;0;0.12;E;20;10;30.12;Partly Cloudy;N;;;
;5-Feb-99;Cape Canaveral;Uncrewed;75;61;68.46;73;51;62;0;0.08;NE;17;10;30.24;Fair;N;;;
;6-Feb-99;Cape Canaveral;Uncrewed;75;57;66.45;73;51;62;0;0.09;E;12;10;30.18;Fair;N;;;
Stardust;7-Feb-99;Cape Canaveral;Uncrewed;81;61;69.55;73;51;62;0;0.08;SW;16;7;30.09;Fair;Y;;;
;8-Feb-99;Cape Canaveral;Uncrewed;82;0;67.52;73;51;62;0;0.09;W;14;7;30.07;Cloudy;N;;;
;9-Feb-99;Cape Canaveral;Uncrewed;79;61;68.91;73;51;62;0.12;0.08;NE;12;7;30.16;Rain;N;;;
;3-Set-77;Cape Canaveral;Uncrewed;85;0;49.63;89;73;81;0;0.27;SE;20;7;30.05;Cloudy;N;;;
;4-Set-77;Cape Canaveral;Uncrewed;85;0;67.2;89;73;81;0;0.25;S;14;10;30.03;Cloudy;N;;;
Voyager 1;5-Set-77;Cape Canaveral;Uncrewed;88;0;77.54;89;73;81;0;0.23;SE;15;80;29.99;Cloudy;Y;;;
;6-Set-77;Cape Canaveral;Uncrewed;89;0;48.09;89;73;81;0;0.24;SE;21;10;30.02;Cloudy;N;;;
;7-Set-77;Cape Canaveral;Uncrewed;94;77;83.54;89;73;81;0;0.24;SE;15;10;30.07;Partly Cloudy;N;;;
;18-Ago-77;Cape Canaveral;Uncrewed;94;0;76.36;91;73;82;0;0.24;SW;14;10;30.04;Partly Cloudy;N;;;
;19-Ago-77;Cape Canaveral;Uncrewed;95;76;84.54;90;73;82;0;0.26;W;21;15;30.03;Cloudy;N;;;
Voyager 2;20-Ago-77;Cape Canaveral;Uncrewed;91;0;74.48;90;73;82;0;0.24;W;14;10;30.03;Cloudy;Y;;;
;21-Ago-77;Cape Canaveral;Uncrewed;91;0;75.25;90;73;82;0;0.24;SW;15;10;30;Cloudy;N;;;
